Name		Cost															Damage				Adv. Map				
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	Attributes (Reference only, do not change these values)	
Lándzsás	Lándzsás	0	0	0	0	0	0	60	100	80	14	0	10	4	4	5	1	3	0	0	20	50		0	
Alabárdos	Alabárdos	0	0	0	0	0	0	75	115	115	14	0	10	5	6	5	2	3	0	0	20	30		0	
Íjász	 Íjász	0	0	0	0	0	0	100	115	126	9	0	10	4	6	3	2	3	12	0	16	30		SHOOTING_ARMY	
Számszeríjász	Számszeríjász	0	0	0	0	0	0	150	115	184	9	0	10	6	6	3	2	3	24	0	16	25	Kétszer lõ.	const_two_attacks | SHOOTING_ARMY	
Griff	Griff	0	0	0	0	0	0	200	324	351	7	3	25	6	8	8	3	6	0	0	12	25	Dupla visszatámadás.	DOUBLE_WIDE | FLYING_ARMY	
Királyi Griff	Királyi Griff	0	0	0	0	0	0	240	364	448	7	3	25	9	9	9	3	6	0	0	12	20	Végtelen visszatámadás.	DOUBLE_WIDE|FLYING_ARMY	
Kardforgató	Kardforgató	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	0	10	20		0	
Keresztes	Keresztes	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	0	10	16	Kétszer üt.	const_two_attacks	
Barát	Barát	0	0	0	0	0	0	400	485	485	3	0	30	5	12	7	10	12	12	0	8	16		SHOOTING_ARMY	
Zelóta	Zelóta	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	0	8	12	Nincs közelharci büntetés.	SHOOTING_ARMY | const_no_melee_penalty	
Lovag	Lovag	0	0	0	0	0	0	1000	1668	1946	2	0	100	7	15	15	15	25	0	0	5	12	Nekifutás bónusz.	DOUBLE_WIDE | const_jousting	
Bajnok	Bajnok	0	0	0	0	0	0	1200	1800	2100	2	0	100	9	16	16	20	25	0	0	5	10	Nekifutás bónusz.	DOUBLE_WIDE | const_jousting	
Angyal	Angyal	0	0	0	0	0	1	3000	3585	5019	1	0	200	12	20	20	50	50	0	0	4	10	Gyûlöli az Ördögöket.	FLYING_ARMY | const_raises_morale | KING_2	
