Region Name	Campaign Name	Scenario Name	Map Area Name
"{Délirév}

Catherine királynõ eltávozott, hogy katonai támogatást szerezzen Bracada királyától, Gavin Magnustól. A többi generális a területen kószál. Létesíts egy bázist, gyûjtsd össze a helyi seregeket, határozd meg a Nighon invázió méretét és találd meg a támadás útvonalát."	Good1	G1a	Map Area 1
"{Angyalkapu}

 Felderítõink szerint a Tiszta Toll város környékén lakó angyalok után érdemes lenne nyomozni. Ha a pletykák igazak, akkor garantálnunk kell a város biztonságát, és talán meggyõzhetnénk az angyalokat, hogy csatlakozzanak hozzánk."	Good1	G1b	Map Area 2
"{Griff Szikla}

 A Griff Szikla, Erathia szinte teljes griff népességének fészke jelenleg Nighon és Kreegan erõinek uralma alatt áll. Generációkkal ezelõtt a griffek jelentették a kulcsot Erathia megalapításához, és most õk jelentik a kulcsot a visszaszerzéséhez."	Good1	G1c	Map Area 3
"{Csatahely}

 A szabad Erathiáért folytatott harc elsõ lépése a fõváros, Steadwick felszabadítása lesz a Nighon uralom alól. Nem lesz egyszerû feladat, mert a Dungeon Nagyurak eltorlaszolták a Steadwick Völgybe vezetõ hegyi ösvényeket."	Good2	G2a	Map Area 1
"{Eeofol}

III. Lucifer Kreegan, Eofol Fõparancsnoka levelet küld Catherine királynõ kastélyába. Azt állítja, hogy van egy túsza: Catherine férje, Roland Ironfist Enrothból, és csak egymillió arany váltságdíj mentheti meg az életét."	Good2	G2b	Map Area 2
"{Mocsárvidék és Hegygerinc}

Nagykövet érkezik Bracadából üzenettel Gavin Magnustól, aki segítséget ajánl, és magának követeli Nyugat-Erathiát a harcoló tataliai és krewlodi haderõktõl. Itt az ideje, hogy emlékeztesd a szomszédaidat, hol is vannak a határok."	Good2	G2c	Map Area 3
"{Bõtermés és Tûzpart}

Már tudjuk, miért esett el Erathia. Nighon és Eofol haderõi szó szerint aláásták a Nighon Szorost, és betörtek az Erathia partjai alatt húzódó Törp Tárnákba. Most arra kényszerítjük õket, hogy újra használják ezeket az alagutakat - ezúttal menekülési útvonalként, mert örökre kiûzzük õket Erathiából!"	Good2	G2d	Map Area 4
"{Mocsárvidék}

Tatalia királya, Tralossk a zsoldjába fogadott, mert végre egyszer s mindenkorra szeretné elérni, hogy az országa ne csupán mocsár legyen. A megzavart Erathiát látva úgy döntött, itt az ideje, hogy kitágítsa Tatalia határait."	Neutral1	N1a	Map Area 1
"{Bányakút}

Krewlod vezére, Winston Boragus herceg a zsoldjába fogadott, hogy pár rajtaütést vezess Erathia területén. Az a terv, hogy elég pénzt rabolj össze Krewlod... egyéb terveihez. "	Neutral1	N1b	Map Area 2
"{Hegygerinc}

Tatalia királyának, Tralossknak és Krewlod urának, Boragus hercegnek is szüksége van a szolgálataidra. Mindkét nemzet azt fontolgatja, hogy megszerzi magának a területeik közti utolsó földdarabot. Ironikus, de a földnek szinte semmi értéke. El kell döntened, melyik nemzetet szolgáld. A választás egyedül rajtad áll. "	Neutral1	N1c	Map Area 3
