			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	Attributes (reference only, do not change)
																																	
Kaland Varázslatok																																	
																																	
Hajóidézés	Hajóidézés	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Hajóidézés}

A Hajóidézés varázslat egy már létezõ hajót idéz meg a kívánt helyre.

50% az esély, hogy sikerül.
"	"{Alap Hajóidézés}

A Hajóidézés varázslat egy már létezõ hajót idéz meg a kívánt helyre.

50% az esély, hogy sikerül.
"	"{Haladó Hajóidézés}

A Hajóidézés varázslat egy már létezõ hajót idéz meg a kívánt helyre.

75% az esély, hogy sikerül.
"	"{Mester Hajóidézés}

A Hajóidézés varázslat egy már létezõ hajót idéz meg a kívánt helyre. Ha nincs ilyen, akkor egy újat hoz létre.
"	 ADV_SPELL
Hajólékelés	Hajólékelés	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Hajólékelés}

A Hajólékelés varázslat megsemmisíti a kiválasztott hajódat. 

50% az esély, hogy sikerül.
"	"{Alap Hajólékelés}

A Hajólékelés varázslat megsemmisíti a kiválasztott hajódat. 

50% az esély, hogy sikerül.
"	"{Haladó Hajólékelés}

A Hajólékelés varázslat megsemmisíti a kiválasztott hajódat. 

75% az esély, hogy sikerül.
"	"{Mester Hajólékelés}

A Hajólékelés varázslat megsemmisíti a kiválasztott hajódat. 
"	 ADV_SPELL
Látomás	Látomás	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Látomás}

A Látomás varázslat a kaland térképen lévõ seregek vagy helyõrségek erejét mutatja meg.
"	"{Alap Látomás}

A Látomás varázslat a kaland térképen lévõ seregek vagy helyõrségek erejét mutatja meg.
"	"{Haladó Látomás}

A Látomás varázslat a kaland térképen lévõ seregek vagy helyõrségek erejét, számát és típusát mutatja meg, továbbá azt, hogy az ellenséges egységek hajlandóak e hozzád csatlakozni. 
"	"{Mester Látomás}

A Látomás varázslat a kaland térképen lévõ seregek vagy helyõrségek erejét, számát és típusát mutatja meg, továbbá azt, hogy az ellenséges egységek hajlandóak e hozzád csatlakozni. A közelben lévõ városokról is információkat kapunk.
"	 ADV_SPELL
Látkép	Látkép	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Látkép}

A Látkép varázslat megmutatja az összes nyersanyag elhelyezkedését a már felderített térképen.
"	"{Alap Látkép}

A Látkép varázslat megmutatja az összes nyersanyag elhelyezkedését a már felderített térképen.
"	"{Haladó Látkép}

A Látkép varázslat megmutatja az összes nyersanyag elhelyezkedését a már felderített térképen.
"	"{Mester Látkép}

A Látkép varázslat megmutatja az összes nyersanyag és bánya elhelyezkedését a már felderített térképen.
"	 ADV_SPELL
Álca	Álca	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Álca}

Az Álca varázslat hamis információkat ad az ellenséges csapatoknak a csapatodról.
"	"{Alap Álca}

Az Álca varázslat hamis információkat ad az ellenséges csapatoknak a csapatodról.
"	"{Haladó Álca}

Az Álca varázslat hamis információkat ad az ellenséges csapatoknak a csapatodról. Az összes egységedet úgy tünteti fel az ellenség számára, hogy az a Te legerõsebb sereged. A számok 0-ra változnak az összes csoportban.
"	"{Mester Álca}

Az Álca varázslat hamis információkat ad az ellenséges csapatoknak a csapatodról. Az összes egységedet úgy tünteti fel az ellenség számára, hogy az a Te legerõsebb sereged. A számok 0-ra változnak az összes csoportban.
"	 ADV_SPELL
Madártávlat	Madártávlat	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Madártávlat}

A Madártávlat varázslat megmutatja az összes varázstárgy elhelyezkedését a már felderített térképen. 
"	"{Alap Madártávlat}

A Madártávlat varázslat megmutatja az összes varázstárgy elhelyezkedését a már felderített térképen. 
"	"{Haladó Madártávlat}

A Madártávlat varázslat megmutatja az összes varázstárgy, ellenséges hõs elhelyezkedését a már felderített térképen. 
"	"{Mester Madártávlat}

A Madártávlat varázslat megmutatja az összes varázstárgy, ellenséges hõs és ellenséges város elhelyezkedését a már felderített térképen. 
"	 ADV_SPELL
