	Leírás		
Név	Alap	Haladó	Mester
Terepismeret	"{Alap Terepismeret}

Az Alap Terepismeret csökkenti a terepviszonyok miatti mozgási büntetést, 25%-kal csökkenti a mozgás költségét, így az minimum 95%-os költséget jelent."	"{Haladó Terepismeret}

A Haladó Terepismeret csökkenti a mozgási büntetést az egyenetlen terepen, 50%-kal csökkenti a mozgás költségét, minimum 90%-ra."	"{Mester Terepismeret}

A Mester Terepismeret megszünteti a mozgásbüntetést a kedvezõtlen terepen, 75%-kal csökkentve a mozgás költségét minimum 85%-ra."
Íjászat	"{Alap Íjászat}

Az Alap Íjászat a távolra támadó lények sebzését növeli meg 10%-kal."	"{Haladó Íjászat}

A Haladó Íjászat a távolra támadó lények sebzését növeli meg 25%-kal."	"{Mester Íjászat}

A Mester Íjászat a távolra támadó lények sebzését növeli meg 50%-kal."
Logisztika	"{Alap Logisztika}

Az Alap Logisztika megnöveli a hõs mozgáspontját a szárazföldön 5%-kal."	"{Haladó Logisztika}

A Haladó Logisztika megnöveli a hõs mozgáspontját a szárazföldön 10%-kal."	"{Mester Logisztika}

A Mester Logisztika megnöveli a hõs mozgáspontját a szárazföldön 20%-kal."
Felderítés	"{Alap Felderítés}

Az Alap Felderítés +1 sugarú körrel többet fed föl a Kaland Térképen.	"{Haladó Felderítés}

A Haladó Felderítés +2 sugarú körrel többet fed föl a Kaland Térképen."	"{Mester Felderítés}

A Mester Felderítés +5 sugarú körrel többet fed föl a Kaland Térképen."
Diplomácia	"{Alap Diplomácia}

Az Alap Diplomácia lehetõséget ad a hõsnek, hogy túlerõben lévõ csapataival az ellenséges lényeket maga mellé állítsa, ezen felül csökkenti a Megadás költségét 20%-kal."	"{Haladó Diplomácia}

A Haladó Diplomácia lehetõséget ad a hõsnek, hogy túlerõben lévõ csapataival az ellenséges lényeket maga mellé állítsa, ezen felül csökkenti a Megadás költségét 40%-kal."	"{Mester Diplomácia}

A Mester Diplomácia lehetõséget ad a hõsnek, hogy túlerõben lévõ csapataival az ellenséges lényeket maga mellé állítsa, ezen felül csökkenti a Megadás költségét 60%-kal."
Tengerészet  	"{Alap Tengerészet}

Az Alap Tengerészet tengeri utazás során 50%-kal több mozgáspontot ad a hõsnek."	"{Haladó Tengerészet}

A Haladó Tengerészet tengeri utazás során megduplázza a hõs mozgáspontjait."	"{Mester Tengerészet}

A Mester Tengerészet tengeri utazás során 150%-kal több mozgáspontot ad a hõsnek."
Vezetés	"{Alap Vezetés}

Az Alap Vezetés növeli a hõsöd katonáinak hangulatát +1-gyel."	"{Haladó Vezetés}

A Haladó Vezetés növeli a hõsöd katonáinak hangulatát +2-vel."	"{Mester Vezetés}

A Mester Vezetés növeli a hõsöd katonáinak hangulatát +3-mal."
Bölcsesség	"{Alap Bölcsesség}

Az Alap Bölcsesség lehetõséget biztosít a hõsöd számára, hogy megtanulja a harmadik szintû varázslatokat."	"{Haladó Bölcsesség}

A Haladó Bölcsesség lehetõséget biztosít a hõsöd számára, hogy megtanulja a negyedik szintû varázslatokat."	"{Mester Bölcsesség}

A Mester Bölcsesség lehetõséget biztosít a hõsöd számára, hogy megtanulja az ötödik szintû varázslatokat."
Miszticizmus	"{Alap Miszticizmus}

Az Alap Miszticizmussal a hõs maximális varázspontjainak 10%-át regenerálja naponta, minimum napi 5 pontot."	"{Haladó Miszticizmus}

A Haladó Miszticizmussal a hõs maximális varázspontjainak 20%-át regenerálja naponta, minimum napi 10 pontot."	"{Mester Miszticizmus}

A Mester Miszticizmussal a hõs maximális varázspontjainak 30%-át regenerálja naponta, minimum napi 15 pontot."
Szerencse	"{Alap Szerencse}

Az Alap Szerencse növeli a hõsöd szerencséjét +1-gyel."	"{Haladó Szerencse}

A Haladó Szerencse növeli a hõsöd szerencséjét +2-vel."	"{Mester Szerencse}

A Mester Szerencse növeli a hõsöd szerencséjét +3-mal."
