			Fight										Reward							Creatures		Artifacts				Analysis		
Adventure Object	Level	Chance			Upgrade							Combat Value (imp = 1)	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold			Treasure	Minor	Major	Relic	Overall Value	Reward / Difficulty	Difficult / Easiest
Küklopszok Raktára	1	30%	20	Küklopszok	50%	0	Nincs	0	Nincs	0	Nincs	506	4	4	4	4	4	4	0	0	Nincs	0	0	0	0	10000	20	100%
 	2	30%	30	Küklopszok	50%	0	Nincs	0	Nincs	0	Nincs	760	6	6	6	6	6	6	0	0	Nincs	0	0	0	0	15000	20	150%
 	3	30%	40	Küklopszok	50%	0	Nincs	0	Nincs	0	Nincs	1013	8	8	8	8	8	8	0	0	Nincs	0	0	0	0	20000	20	200%
 	4	10%	50	Küklopszok	50%	0	Nincs	0	Nincs	0	Nincs	1266	10	10	10	10	10	10	0	0	Nincs	0	0	0	0	25000	20	250%
Törpék Kincstára	1	30%	50	Törpék	50%	0	Nincs	0	Nincs	0	Nincs	194	0	0	0	0	2	0	2500	0	Nincs	0	0	0	0	3500	18	100%
 	2	30%	75	Törpék	50%	0	Nincs	0	Nincs	0	Nincs	291	0	0	0	0	3	0	4000	0	Nincs	0	0	0	0	5500	19	150%
 	3	30%	100	Törpék	50%	0	Nincs	0	Nincs	0	Nincs	388	0	0	0	0	5	0	5000	0	Nincs	0	0	0	0	7500	19	200%
 	4	10%	150	Törpék	50%	0	Nincs	0	Nincs	0	Nincs	582	0	0	0	0	10	0	7500	0	Nincs	0	0	0	0	12500	21	300%
Griffek Konzervatóriuma	1	30%	50	Griffek	50%	0	Nincs	0	Nincs	0	Nincs	351	0	0	0	0	0	0	0	1	Angyalok	0	0	0	0	3000	9	100%
 	2	30%	100	Griffek	50%	0	Nincs	0	Nincs	0	Nincs	702	0	0	0	0	0	0	0	2	Angyalok	0	0	0	0	6000	9	200%
 	3	30%	150	Griffek	50%	0	Nincs	0	Nincs	0	Nincs	1053	0	0	0	0	0	0	0	3	Angyalok	0	0	0	0	9000	9	300%
 	4	10%	200	Griffek	50%	0	Nincs	0	Nincs	0	Nincs	1404	0	0	0	0	0	0	0	4	Angyalok	0	0	0	0	12000	9	400%
