			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	Attributes (reference only, do not change)
																																	
Kaland Varázslatok																																	
																																	
Hajóidézés	Hajóidézés	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Hajóidézés}

A Hajóidézés egy már létezõ hajót idéz meg a kívánt helyre.

50% az esély, hogy sikerül.
"	"{Alap Hajóidézés}

A Hajóidézés egy már létezõ hajót idéz meg a kívánt helyre.

50% az esély, hogy sikerül.
"	"{Haladó Hajóidézés}

A Hajóidézés egy már létezõ hajót idéz meg a kívánt helyre. Ha nincs ilyen, akkor egy újat hoz létre.

75% az esély, hogy sikerül.
"	"{Mester Hajóidézés}

A Hajóidézés egy már létezõ hajót idéz meg a kívánt helyre. Ha nincs ilyen, akkor egy újat hoz létre.
"	 ADV_SPELL
Hajólékelés	Hajólékelés	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Hajólékelés}

Megsemmisíti a kiválasztott hajódat. 

50% az esély, hogy sikerül.
"	"{Alap Hajólékelés}

Megsemmisíti a kiválasztott hajódat. 

50% az esély, hogy sikerül.
"	"{Haladó Hajólékelés}

Megsemmisíti a kiválasztott hajódat. 

75% az esély, hogy sikerül.
"	"{Mester Hajólékelés}

Megsemmisíti a kiválasztott hajódat.
"	 ADV_SPELL
Látomás	Látomás	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Látomás}

A Látomás a Kaland Térképen lévõ seregek vagy helyõrségek erejét mutatja meg.
"	"{Alap Látomás}

A Látomás a Kaland Térképen lévõ seregek vagy helyõrségek erejét mutatja meg, továbbá azt, hogy az ellenséges lények hajlandóak e hozzád csatlakozni.
"	"{Haladó Látomás}

A Látomás a Kaland Térképen lévõ seregek vagy helyõrségek erejét, számát és típusát mutatja meg, továbbá azt, hogy az ellenséges lények hajlandóak e hozzád csatlakozni. 
"	"{Mester Látomás}

A Látomás a Kaland Térképen lévõ seregek vagy helyõrségek erejét, számát és típusát mutatja meg, továbbá azt, hogy az ellenséges lények hajlandóak e hozzád csatlakozni. A közelben lévõ városokról is információkat kapsz.
"	 ADV_SPELL
Látkép	Látkép	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Látkép}

Megmutatja az összes nyersanyag elhelyezkedését a már felderített térképen.
"	"{Alap Látkép}

Megmutatja az összes nyersanyag elhelyezkedését a már felderített térképen.
"	"{Haladó Látkép}

Megmutatja az összes nyersanyag elhelyezkedését a már felderített térképen.
"	"{Mester Látkép}

Megmutatja az összes nyersanyag és bánya elhelyezkedését a már felderített térképen.
"	 ADV_SPELL
Álca 	Álca 	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Álca}

Hamis információkat ad az ellenséges csapatoknak a csapatodról.
"	"{Alap Álca}

Az összes egységedet úgy tünteti fel az ellenség számára, hogy az a te legerõsebb sereged. A számok nem változnak egyik csoportban sem.
"	"{Haladó Álca}

Az összes egységedet úgy tünteti fel az ellenség számára, hogy az a te legerõsebb sereged.  A számok 0-ra változnak az összes csoportban.
"	"{Mester Álca}

Az összes egységedet úgy tünteti fel az ellenség számára, hogy az a te legerõsebb sereged.  A számok 0-ra változnak az összes csoportban.
"	 ADV_SPELL
Madártávlat 	Madártávlat 	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Madártávlat}

Megmutatja az összes varázstárgy elhelyezkedését a már felderített térképen. 
"	"{Alap Madártávlat}

Megmutatja az összes varázstárgy elhelyezkedését a már felderített térképen. 
"	"{Haladó Madártávlat}

Megmutatja az összes varázstárgy, ellenséges hõs elhelyezkedését a már felderített térképen. 
"	"{Mester Madártávlat}

Megmutatja az összes varázstárgy, ellenséges hõs és ellenséges város elhelyezkedését a már felderített térképen. 
"	 ADV_SPELL
