	Seer Hut Variant 1	Seer Hut Variant 2	Seer Hut Variant 3	Quest Guard Variant 1	Quest Guard Variant 2	Quest Guard Variant 3	Quest Gate Variant 1	Quest Gate Variant 2	Quest Gate Variant 3
Seer Empty Text	A helyiek azt mondják ez volt %s otthona, de most biztosan nincs itt senki.	A helyiek azt mondják ez volt %s otthona, de most biztosan nincs itt senki.	Meggyõzõdtél róla, hogy ez volt %s kunyhója, de az is világos, hogy egy jó ideje már elhagyatott.	Kifutottál az idõbõl. Itt már soha nem mehetsz át.	Kifutottál az idõbõl. Itt már soha nem mehetsz át.	Kifutottál az idõbõl. Itt már soha nem mehetsz át.	Kifutottál az idõbõl. Itt már soha nem mehetsz át.	Kifutottál az idõbõl. Itt már soha nem mehetsz át.	Kifutottál az idõbõl. Itt már soha nem mehetsz át.
Experience level quest	Öreg vagyok és bölcs, és nem engedek be akárkit a kunyhómba.  Beléphetsz amikor elérted a %s. tapasztalati szintet.	A jutalmam csak annak jár, aki elég bölcs is ahhoz,  hogy használja.  Érj el %d. tapasztalati szintet és megjutalmazlak.	Öreg vagyok és haldoklom.  Mielõtt meghalok, kincseimet egy arra érdemesnek akarom örökségül hagyni.  Érj el %d-os/as/es szintet és tudni fogom hogy érdemes vagy rá.	Az elkövetkezendõ földek nagyon veszélyesek.  Az õrök kétkedve figyelnek, de megegyeztek, hogy átengednek ha elérted a %d. tapasztalati szintet.	Sajnálom, de ez egy céhház, és csak az csatlakozhat, aki elég tapasztalt.  Csak a céhház tagjai mehetnek tovább.  Amíg nem érted el a %d. tapasztalati szintet, nem csatlakozhatsz.	Van egy kis gond a Királyunkkal.  Nem szereti ha éretlen emberekkel van körülvéve.  Ezért legalább %d. tapasztalati szintûnek kell lenned, hogy átmehess.  	Ezen a kapun túl olyan földek terülnek el, amelyekrõl nagyon keveset tudunk. Az õröket azért állították fel ide, hogy távol tartsák a rosszul képzett kalandorokat. Érd el a %d. tapasztalati szintet, hogy áthaladhass.	Ezen a kapun túl vadászterületek találhatók, ahol nagyon veszélyes vadállatok laknak. Amíg el nem éred a %d. tapasztalati szintet, nem engedjük át.	Elolvasod a kapura függesztett feliratot: "Csak egy igazán erõs hõs tudja kinyitni ezt a kaput. Ahhoz, hogy a zárak kinyíljanak, érd el a %d. tapasztalati szintet."
Experience quest progress	Uhhh. Megint te.  Gyere vissza amikor elérted a %s. tapasztalati szintet, ahogy már mondtam.	Még csak a %d. tapasztalati szint közelében sem jársz, csak akkor gyere vissza ha már elérted!	Érdemtelen vagy.  Csak aki elérte a %d. tapasztalati szintet lesz elég érdemes.	Az õrök egyszerûen senkit sem engednek át %d. tapasztalati szint alatt.	Ki van zárva, hogy egy ilyen gyáva alak mint Te a céhünk tagja legyen.  Csak akkor csatlakozhatsz ha elérted a %d. tapasztalati szintet.	Csak ha %d. tapasztalati szintû vagy állhatsz Királyunk színe elé.	Az itt lévõ õrök egyszerûen nem engednek át senkit %d. tapasztalati szint alatt.	A hozzád hasonló kis nyamvadékokat pillanatok alatt megeszi egy vadállat a kapun túl. Gyere vissza, ha elérted a %d. tapasztalati szintet.	A zárak csak akkor nyílnak ki, ha elérted a %d. tapasztalati szintet.
Experience quest complete	Gondoltam hogy megcsinálod.  Valóban elérted a(z) %s. tapasztalati szintet. Gyere be, gyere be gyorsan.  Tessék, van valamim a számodra, jutalmul erõfeszítéseidért.  Elfogadod?	Ahhh, elérted a(z)  %d. tapasztalati szintet.  Szeretnéd megkapni a jutalmad, igaz?	Végre valaki akire örökségül hagyhatom földi javaimat, most hogy elérted a(z) %d. tapasztalati szintet, szeretnél az örökösöm lenni?	Az õrök tudomásul veszik, hogy elérted a(z) %d. tapasztalati szintet.  Át akarsz menni ez alkalommal?	Most hogy elérted a(z) %d. tapasztalati szintet csatlakozhatsz céhünkhöz.  A tagság ingyenes. Át akarsz menni most?	Kiváló!  Most hogy %d. tapasztalati szintû vagy a Királyunknak nem lesz problémája veled.  Át akarsz menni most?	Az õrök elismerik, hogy valóban elérted a %d. tapasztalati szintet. Szeretnél átmenni?	Most, hogy elérted a %d. tapasztalati szintet, átengedhetünk a vadászterületekre. Szeretnél most átmenni?	Elérted végre a %d. tapasztalati szintet, és most megnyílik elõtted a kapu. Szeretnél most átmenni?
Experience quest rollover	(érd el a(z) %d. tapasztalati szintet)	(érd el a(z) %d. tapasztalati szintet)	(érd el a(z) %d-as/es szintet)	(érd el a(z) %d-as/es szintet)	(érd el a(z) %d. tapasztalati szintet)	(érd el a(z) %d. tapasztalati szintet)	(érd el a(z) %d. tapasztalati szintet)	(érd el a(z) %d. tapasztalati szintet)	(érd el a(z) %d. tapasztalati szintet)
Experience quest log	Érd el a(z) %s. tapasztalati szintet és látogasd meg %s-t.	Érj el %s. tapasztalati szintet és látogasd meg %s-t.	Érj el %s. tapasztalati szintet és látogasd meg %s-t.	Érj el %s. tapasztalati szintet, hogy kinyithasd a kaput.	Érj el %s. tapasztalati szintet, hogy kinyisd a kaput.	Érj el %s. tapasztalati szintet, hogy kinyithasd a kaput.	Érj el %s. tapasztalati szintet, hogy kinyithasd a kaput.	Érj el %s. tapasztalati szintet, hogy kinyisd a kaput.	Érj el %s. tapasztalati szintet, hogy kinyithasd a kaput.
Skill level quest	Nagy hõsök életrajzírója vagyok.  Igazán szeretnék találkozni egy hõssel aki legalább %s. tapasztalati szintû.  Sokat fizetnék a történetéért.	Azok, akik megszerzik a %s. tapasztalati szintet, nagy jutalomban részesülnek.  Ha végeztél, térj vissza hozzám és majd meglátom mit tehetek érted.	Nem hiszem, hogy beszélek olyasvalakivel, aki kevesebb mint Én.  Ha legalább %s. tapasztalati szintû vagy, akkor jobb vagy mint Én, és érdemes lehetsz a figyelmemre.	Az itteni õrök mind visszavonult hõsök. Nem engednek át amíg be nem bizonyítod, hogy mestere vagy a %s-nak/nek.	Csak azok léphetnek át, akik elérték a %s. tapasztalati szintet.  Hogy miért, az a mi dolgunk.	Egy bájos szûz él a toronyban és csak azokat engedi át, akik elbûvölik õt.  Szükséged van %s. tapasztalati szintre, hogy elkápráztasd õt.	A helyi õrség kapitánya nagyon komolyan veszi katonái kiképzését. Azt akarja, hogy tarts elõadást %s-ról, ezért mentort keres, aki taníthatná õket. Nem fog átengedni senki mást.	Csak azok léphetnek át, akik elérték a %s. tapasztalati szintet.  Hogy miért, az a mi dolgunk.	Ahogy közeledsz a kapuhoz, egy hangot hallasz a semmibõl. Azt mondja: "A %s mesterét, akarjuk látni." Hiábavaló minden próbálkozás arra, hogy egyedül nyisd ki a kaput.
Skill quest progress	Találtál nekem egy nagy hõst hogy kikérdezhessem?  El kell hogy érje a(z) %s. tapasztalati szintet.	Igazán sajnálom, de még nem érted el a(z) %s. tapasztalati szintet és addig nem segíthetek neked.	Még érdemtelen vagy.  Csak valaki %s. tapasztalati szintû lesz jobb mint Én.	A visszavonult hõsök néhány teszt elé állítanak, amin szánalmasan megbuksz.  Bizonyosan nem vagy a(z) %s mestere.	Nem érted el a(z) %s. tapasztalati szintet, menj innen.	Kinevet mert még nem érted el a %s. tapasztalati szintet, és nincs Tõled elbûvölve.	A kapitány megköveteli, hogy mutasd be a tudományok mesterségét, de nem tudod kielégíteni ezen vágyát. Nyilvánvaló, hogy még nem vagy jártas %s todományában.	Nem érted el a(z) %s. tapasztalati szintet, menj innen.	Úgy döntesz, hogy újra szerencsét próbálsz, bár még nem sajátítottad el %s-t. A kapu még mindig zárva van, és valahonnan kuncogást hallani.
Skill quest complete	Mindig is találkozni szeretem volna valakivel, aki olyan híres mint Te.  Megengeded hogy leírjam az életed történetét?	Elérted a szükséges szintet, tudtam hogy megcsinálod majd.  Szeretnéd látni ennek az eredménynek a nagyszerû jutalmát?	Jó érzés találkozni valakivel, aki jobb mint Én. Elérted végre a szükséges tapasztalati szintet, elfogadod ezt a jutalmat is?	A visszavonult hõsök néhány teszt elé állítanak, amin könnyedén átjutsz, bemutatva, hogy a(z) %s mestere vagy.  Át akarsz menni?	Elérted a(z) %s. tapasztalati szintet.  Át akarsz menni?	Nagyon el van Tõled bûvölve, mivel elérted a %s. tapasztalati szintet.  Át akarsz menni most?	Jó mentornak bizonyultál, mivel elõadásokat tartottál a katonáknak %s-ról. Most a kapitány beleegyezik abba, hogy átengedjen – át akarsz menni?	Elérted a(z) %s. tapasztalati szintet.  Át akarsz menni?	A hang eleinte ünnepélyes, de fokozatosan ingerültebbé válik: "Lepj meg minket, sikerült már végre? Olyan képességet, mint %s, elsajátítottad? Van valami, amit ezek a hõsök nem tesznek meg, hogy csak úgy átosonjanak oda, ahol senki sem várja õket szívesen!"
Skill quest rollover	(%s szükséges)	(%s szükséges)	(%s szükséges)	(%s szükséges)	(%s szükséges)	(%s szükséges)	(%s szükséges)	(%s szükséges)	(%s szükséges)
