Õrház	Az Õrházban Lándzsásokat vásárolhatsz.
Íjász torony	Az Íjász toronyban íjászokat vásárolhatsz.
Griff torony	A Griff toronyban Griffeket vásárolhatsz.
Kaszárnya	A Kaszárnyában Kardforgatókat vásárolhatsz.
Kolostor	A Kolostorban Szerzeteseket vásárolhatsz.
Lovarda  	A Lovardában Lovagokat vásárolhatsz.
Fény oltára	A Fény oltárában Angyalokat vásárolhatsz.
Fejl. Õrház	A Fejlesztett Õrházban Alabárdosokat vásárolhatsz.
Fejl. Íjász torony	A Fejlesztett Íjász toronyban Számszeríjászokat vásárolhatsz.
Fejl. Griff torony  	A Fejlesztett Griff toronyban Királyi griffeket vásárolhatsz.
Fejl. Kaszárnya	A Fejlesztett Kaszárnyában Kereszteseket vásárolhatsz.
Fejl. Kolostor	A Fejlesztett Kolostorban Zelótákat  vásárolhatsz.
Fejl. Lovarda	A Fejlesztett Lovardában Bajnokokat vásárolhatsz.
Fejl. Fény oltára 	A Fejlesztett Fény oltárában Arkangyalokat  vásárolhatsz.
Kentaur istálló	A Kentaur istállóban Kentaurokat vásárolhatsz.
Törpe kunyhó	A Törpe kunyhóban Törpéket  vásárolhatsz.
Tanya	A Tanyán Erdõtündéket  vásárolhatsz.
Varázslatos vízesés	A Varázslatos vízesésben Pegazusokat vásárolhatsz.
Ent õrség 	A Ent õrségben Fapásztorokat vásárolhatsz.
Unikornis tisztás	Az Unikornis tisztáson Unikornisokat vásárolhatsz.
Sárkány szirt 	A Sárkány szirtnél Zöld sárkányokat vásárolhatsz.
Fejl. Kentaur istálló 	A Fejlesztett Kentaur istállóban Kentaur kapitányokat vásárolhatsz.
Fejl. Törpe kunyhó	A Fejlesztett Törpe kunyhóban Törpe Harcost vásárolhatsz.
Fejl. Tanya 	A Fejlesztett Tanyán Nemestündéket vásárolhatsz.
F. Varázslatos vízesés	A Fejlesztett Unikornis tisztáson Ezüst Pegazusokat vásárolhatsz.
Fejl. Ent õrség	A Fejlesztett Ent õrségben Ent Harcosokat vásárolhatsz.
Fejl. Unikornis tisztás 	A Fejlesztett Unikornis tisztáson Harci Unikornisokat vásárolhatsz.
Fejl. Sárkány szirt	A Fejlesztett Sárkány szirten Arany Sárkányokat vásárolhatsz.
Mûhely	A mûhelyben Koboldot vásárolhatsz.
Korlátfal	A Korlátfalnál Vízköpõket vásárolhatsz.
Gólem gyár	A Gólem Gyárban kõgólemeket vásárolhatsz.
Varázsló torony	A Varázsló toronyban Mágusokat vásárolhatsz.
Kívánság oltára	A Kívánság oltáránál Dzsinneket vásárolhatsz.
Arany pavilon	Az Arany pavilonban Nagákat vásárolhatsz.
Fellegvár	A Fellegvárban Óriásokat vásárolhatsz.
