"Note: Do not change the headings in this file, they are used to detect problems"		
Status Bar Message	Tool Tip	Chance
"Segítségért nyomd le az F1 gombot"		30%
Új térkép	Új térkép	30%
Térkép megnyitása	Térkép megnyitása	30%
A jelenlegi térkép elmentése	Térkép mentése	10%
A jelenlegi térkép elmentése más néven	Térkép mentése másként	30%
"Program információk, verzió szám és szerzõi jogok"	Névjegy	30%
Térkép szerkesztõ bezárása	Kilépés	30%
Súgótémák megjelenítése	Súgótémák	10%
Súgó megjelenítése a jelenlegi feladathoz	Segítség	30%
Ezen térkép megnyitása		30%
A kiválasztott objektum másolása és vágólapra helyezése	Másolás	30%
A kiválasztott objektum kivágása és vágólapra helyezése	Kivágás	10%
Egy meghatározott típusú objektum keresése		30%
A vágólap tartalmának beszúrása	Beillesztés	30%
Az utolsó esemény visszavonása	Visszavonás	30%
Az elõzõleg végre nem hajtott feladat megismétlése	Újra	10%
Az ablak méretének megváltoztatása		30%
Az ablak pozíciójának megváltoztatása		30%
Az ablak lecsökkentése ikon méretre		30%
Az ablak nagyítása teljes képernyõre		10%
Az ablak bezárása		30%
Ablak visszaállítása a normál méretre		30%
Az alvilág megtekintése	Alvilág	30%
Térkép bejárhatóságának megmutatása	Bejárhatóság	10%
Terep elhelyezése 	Terep típusok 	30%
Vizek elhelyezése	Folyó típusok	30%
Utak elhelyezése 	Út típusok	30%
Objektumok törlése	Radír	10%
Fölt objektumok elhelyezése	Objektumok föld típusú talajra	30%
Homok objektumok elhelyezése	Objektumok homok típusú talajra	30%
Füves objektumok elhelyezése	Objektumok füves talajra	30%
Havas objektumok elhelyezése	Objektumok havas talajra	10%
Mocsaras objektumok elhelyezése	Objektumok mocsaras talajra	30%
Törmelékes objektumok elhelyezése	Objektumok törmelékes talajra	30%
Föld alatti objektumok elhelyezése	Objektumok föld alatti talajra	30%
Lávás objektumok elhelyezése	Objektumok lávás talajra	10%
Vízi objektumok elhelyezése	Objektumok vízi talajra	30%
Városok elhelyezése	Városok	30%
Lények elhelyezése	Lények	30%
Hõsök elhelyezése	Hõsök	10%
Varázstárgyak elhelyezése	Varázstárgyak	30%
Kincsek elhelyezése	Kincsek	30%
Objektumok animálása a térképen		30%
A térkép leírásának módosítása		10%
Az 1x1-es ecset kiválasztása	1x1-es ecset	
A 2x2-es ecset kiválasztása	2x2-es ecset	
A 4x4-es ecset kiválasztása	4x4-es ecset	
Kerületes ecset kiválasztása	Kerületes ecset	
Föld típusú terep kiválasztása	Föld	
Homok típusú terep kiválasztása	Homok	
Fû típusú terep kiválasztása	Fû	
Hó típusú terep kiválasztása	Hó	
Mocsár típusú terep kiválasztása	Mocsár	
Törmelék típusú terep kiválasztása	Törmelék	
Föld alatti típusú terep kiválasztása	Föld alatti	
Láva típusú terep kiválasztása	Láva	
Víz típusú terep kiválasztása	Víz	
Folyó törlése 	Folyók törlése	
Jeges víz kiválasztása 	Jeges víz	
Üledékes víz kiválasztása  	Üledékes víz	
Láva folyam kiválasztása   	Láva folyam	
